"table_name","column_name"
"activity","id"
"activity","user_id"
"activity","post_id"
"activity","type"
"activity","created_date"
"activity","club_id"
"archived_report","id"
"archived_report","report_data"
"badge","id"
"badge","title"
"badge","description"
"badge","image"
"badge_task","id"
"badge_task","title"
"badge_task","completion_number"
"badge_task","current_number"
"badge_task","user_id"
"badge_task","description"
"badge_task","badge_id"
"badge_task","counter_name"
"block_users","block_user_id"
"block_users","target_user_id"
"chat_message","id"
"chat_message","chat_id"
"chat_message","content"
"chat_message","created_at"
"chat_message","content_type"
"chat_message","sender_id"
"chat_message","is_unsent"
"chat_message","is_edited"
"chat_message","reply_to_message_id"
"chat_message_liked_by_users","chat_message_id"
"chat_message_liked_by_users","user_id"
"chat_message_read_by_users","chat_message_id"
"chat_message_read_by_users","user_id"
"chat_room","id"
"chat_room","type"
"chat_room","club_id"
"chat_room","latest_message_timestamp"
"chat_room","latest_message"
"chat_room","post_id"
"chat_room","title"
"chat_room","image"
"chat_room","user_id"
"chat_room_active_users","chat_room_id"
"chat_room_active_users","user_id"
"chat_room_muted_users","chat_room_id"
"chat_room_muted_users","user_id"
"chat_room_participants","chat_room_id"
"chat_room_participants","user_id"
"club","id"
"club","title"
"club","accessibility"
"club","ask_to_join"
"club","description"
"club","permissions"
"club","name"
"club","address"
"club","city"
"club","state"
"club","country"
"club","latitude"
"club","longitude"
"club","created_at"
"club","user_id"
"club_images","club_id"
"club_images","images"
"club_interests","club_id"
"club_interests","interest_id"
"club_join_requests","club_id"
"club_join_requests","join_requests"
"club_member","id"
"club_member","club_id"
"club_member","user_id"
"club_member","type"
"club_memories","club_id"
"club_memories","memories"
"currency","id"
"currency","name"
"currency","symbol"
"currency","code"
"databasechangelog","id"
"databasechangelog","author"
"databasechangelog","filename"
"databasechangelog","dateexecuted"
"databasechangelog","orderexecuted"
"databasechangelog","exectype"
"databasechangelog","md5sum"
"databasechangelog","description"
"databasechangelog","comments"
"databasechangelog","tag"
"databasechangelog","liquibase"
"databasechangelog","contexts"
"databasechangelog","labels"
"databasechangelog","deployment_id"
"databasechangeloglock","id"
"databasechangeloglock","locked"
"databasechangeloglock","lockgranted"
"databasechangeloglock","lockedby"
"friend_request","id"
"friend_request","from_user_id"
"friend_request","to_user_id"
"friend_request","created_at"
"interest","id"
"interest","name"
"interest","icon"
"interest","category"
"notification","id"
"notification","alert_body"
"notification","for_user_id"
"notification","created_date"
"notification","is_read"
"participation_rating","id"
"participation_rating","comment"
"participation_rating","from_user_id"
"participation_rating","to_user_id"
"participation_rating","liked"
"participation_rating","created_at"
"participation_rating","post_id"
"post","id"
"post","user_id"
"post","title"
"post","description"
"post","maximum_people"
"post","from_date"
"post","to_date"
"post","created_at"
"post","payment"
"post","accessibility"
"post","ask_to_join"
"post","rating"
"post","name"
"post","address"
"post","city"
"post","state"
"post","country"
"post","latitude"
"post","longitude"
"post","club_id"
"post","status"
"post","needs_locational_confirmation"
"post","sent_starting_soon_notification"
"post","currency_id"
"post_images","post_id"
"post_images","images"
"post_interests","interest_id"
"post_interests","post_id"
"post_join_requests","post_id"
"post_join_requests","join_requests"
"post_participant","id"
"post_participant","post_id"
"post_participant","user_id"
"post_participant","type"
"post_participant","location_status"
"rating","id"
"rating","comment"
"rating","user_id"
"rating","post_id"
"rating","value"
"rating","created_at"
"report","id"
"report","description"
"report","reporter_id"
"report","reported_user_id"
"report","reported_post_id"
"report","reported_club_id"
"report","report_type"
"report","created_at"
"stripe_charge","id"
"stripe_charge","payment_intent_id"
"stripe_charge","post_id"
"stripe_charge","user_id"
"stripe_charge","expiration"
"stripe_charge","created_at"
"stripe_charge","is_refunded"
"unique_device","id"
"unique_device","user_id"
"unique_device","type"
"user_badges","badge_id"
"user_badges","user_id"
"user_extra_details","user_id"
"user_extra_details","bio"
"user_extra_details","education"
"user_extra_details","workout"
"user_extra_details","personality_type"
"user_extra_details","instagram"
"user_extra_details","height"
"user_extra_details","referral_code"
"user_friends","friend_id"
"user_friends","user_id"
"user_hidden_posts","post_id"
"user_hidden_posts","user_id"
"user_info","id"
"user_info","email"
"user_info","sub_to_email"
"user_info","first_name"
"user_info","last_name"
"user_info","gender"
"user_info","birth_date"
"user_info","visible_gender"
"user_info","occupation"
"user_info","phone_number"
"user_info","verified_phone"
"user_info","verified_email"
"user_info","created_date"
"user_info","name"
"user_info","address"
"user_info","city"
"user_info","state"
"user_info","country"
"user_info","latitude"
"user_info","longitude"
"user_info","stripe_account_id"
"user_info","status"
"user_info","is_deleted"
"user_info","user_role"
"user_info","user_role_updated_at"
"user_interests","interest_id"
"user_interests","user_id"
"user_participated_posts","post_participant_id"
"user_participated_posts","user_id"
"user_profile_photos","user_id"
"user_profile_photos","profile_photos"
"user_saved_posts","post_id"
"user_saved_posts","user_id"
"wait_request","id"
"wait_request","post_id"
"wait_request","user_id"
"wait_request","created_at"
